"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1131","2505600",6613,"2 - 5001 até 10000",6796.78,3,2,3,0,3,20.4,1,1,"segundo",0.593
"1132","2505709",10495,"3 - 10001 até 20000",6350.54,2,2,3,0,3,21.5,9,1,"primeiro",0.545
"1133","2505808",3631,"1 - Até 5000",8899.64,3,2,3,0,3,22.4,8.5,1,"segundo",0.603
"1134","2505907",3463,"1 - Até 5000",7431.73,3,3,3,1,3,10.4,5.7,1,"segundo",0.595
"1135","2506004",32530,"4 - 20001 até 50000",10857.2,2,2,3,1,3,22.2,7.6,0,"segundo",0.623
"1136","2506103",11413,"3 - 10001 até 20000",7171.34,2,1,3,1,3,26.9,6.6,0,"primeiro",0.56
"1137","2506202",2984,"1 - Até 5000",7525.58,3,3,3,1,3,19.7,7.4,0,"segundo",0.641
"1138","2506251",8458,"2 - 5001 até 10000",5988.27,2,1,2,0,2,33.8,3.9,0,"primeiro",0.513
"1139","2506301",57780,"5 - 50001 até 100000",13646.63,3,2,3,0,3,34.9,8.5,1,"terceiro",0.673
"1140","2506400",14107,"3 - 10001 até 20000",7797.96,2,2,2,0,3,25.4,4.3,1,"primeiro",0.556
"1141","2506509",3344,"1 - Até 5000",7471.12,2,3,3,1,3,22.8,1.4,0,"segundo",0.625
"1142","2506608",6000,"2 - 5001 até 10000",6659.59,3,2,3,0,3,26.3,5.1,1,"primeiro",0.586
"1143","2506707",11705,"3 - 10001 até 20000",5610.02,3,2,3,0,3,17.4,0,1,"primeiro",0.557
"1144","2506806",17978,"3 - 10001 até 20000",7168.23,3,2,3,0,3,2.8,6.9,0,"primeiro",0.592
"1145","2506905",24613,"4 - 20001 até 50000",9347.31,3,2,3,0,3,14,8.1,0,"segundo",0.613
"1146","2507002",24317,"4 - 20001 até 50000",9170.49,3,2,3,0,3,15,4.8,0,"segundo",0.615
"1147","2507101",18129,"3 - 10001 até 20000",7341.53,2,2,3,0,3,33.5,9,1,"primeiro",0.564
"1148","2507200",10666,"3 - 10001 até 20000",7926.95,3,2,3,0,3,20.4,9.2,0,"primeiro",0.562
"1149","2507309",14283,"3 - 10001 até 20000",7193.39,3,2,2,0,3,23.7,9,1,"primeiro",0.558
"1150","2507408",7703,"2 - 5001 até 10000",6944.44,2,2,3,0,3,12,2.5,1,"segundo",0.603
"1151","2507507",780738,"7 - Maior que 500000",22350.05,1,3,3,0,3,20.4,9,0,"quinto",0.763
"1152","2507606",7797,"2 - 5001 até 10000",6447.78,2,2,2,0,3,21.7,5.2,1,"primeiro",0.579
"1153","2507705",17737,"3 - 10001 até 20000",7064.24,3,2,2,0,3,30.7,5.9,1,"primeiro",0.567
"1154","2507804",6995,"2 - 5001 até 10000",7996.65,2,2,3,0,3,25.2,7.9,0,"segundo",0.617
"1155","2507903",10616,"3 - 10001 até 20000",7929.27,3,2,3,1,3,13.7,7.5,1,"primeiro",0.548
"1156","2508000",9906,"2 - 5001 até 10000",5985.65,3,2,3,1,3,25.6,6.2,1,"primeiro",0.57
"1157","2508109",4698,"1 - Até 5000",6273.12,3,2,3,0,3,11.3,4,1,"primeiro",0.563
"1158","2508208",7592,"2 - 5001 até 10000",7448.26,2,3,3,0,3,4.2,9.4,0,"primeiro",0.57
"1159","2508307",26950,"4 - 20001 até 50000",7843.2,3,3,3,1,3,20.9,2.8,1,"segundo",0.627
"1160","2508406",2787,"1 - Até 5000",7010.89,3,3,3,0,3,20.8,5.9,0,"primeiro",0.533
"1161","2508505",7338,"2 - 5001 até 10000",6074.37,3,3,3,0,3,39.3,3,1,"primeiro",0.566
"1162","2508554",4206,"1 - Até 5000",6674.31,3,2,3,0,3,30.8,8,1,"primeiro",0.583
"1163","2508604",12635,"3 - 10001 até 20000",15127.79,1,2,3,0,3,32.8,10,1,"primeiro",0.583
"1164","2508703",4035,"1 - Até 5000",6449.72,3,2,3,0,3,26.3,8.1,1,"primeiro",0.542
"1165","2508802",5675,"2 - 5001 até 10000",6966.42,3,2,3,0,3,14.4,5.7,0,"segundo",0.642
"1166","2508901",44030,"4 - 20001 até 50000",10872.94,3,2,3,0,3,17.6,7,1,"primeiro",0.585
"1167","2509008",11037,"3 - 10001 até 20000",5406.39,3,2,3,1,3,8.7,5.1,1,"primeiro",0.543
